name,phi,psi,theta,cnn_energy
aspartame,-160.0,120.0,,-645929.1688523644
aspartame,160.0,-120.0,,-645934.163313424
aspartame,160.0,120.0,,-645924.8236222619
aspartame,-160.0,-140.0,,-645932.5420518273
aspartame,-160.0,140.0,,-645931.0922227257
aspartame,160.0,-140.0,,-645927.9100633019
aspartame,160.0,140.0,,-645930.8586564416
aspartame,-160.0,-160.0,,-645933.1119218224
aspartame,-160.0,160.0,,-645930.3366837853
aspartame,160.0,-160.0,,-645931.0656266564
aspartame,160.0,160.0,,-645928.9715867394
aspartame,-160.0,-180.0,,-645932.9773545617
aspartame,-160.0,180.0,,-645938.9689469689
aspartame,160.0,-180.0,,-645928.6077714318
aspartame,160.0,180.0,,-645930.9055467003
aspartame,-160.0,-20.0,,-645940.103346383
aspartame,-160.0,20.0,,-645931.3809342736
aspartame,160.0,-20.0,,-645931.8584580773
aspartame,160.0,20.0,,-645930.6499619836
aspartame,-160.0,-40.0,,-645931.3195939416
aspartame,-160.0,40.0,,-645931.956495797
aspartame,160.0,-40.0,,-645928.2292771691
aspartame,160.0,40.0,,-645924.7166123742
aspartame,-160.0,-60.0,,-645928.463804757
aspartame,-160.0,60.0,,-645927.0760331505
aspartame,160.0,-60.0,,-645926.8262467736
aspartame,160.0,60.0,,-645930.0318131798
aspartame,-160.0,-80.0,,-645926.1486192101
aspartame,-160.0,80.0,,-645934.1449113244
aspartame,160.0,-80.0,,-645923.8227677697
aspartame,160.0,80.0,,-645932.8391862267
aspartame,-180.0,0.0,,-645915.7897019738
aspartame,180.0,0.0,,-646009.999250924
aspartame,-180.0,-100.0,,-645909.9263444298
aspartame,-180.0,100.0,,-645910.811461007
aspartame,180.0,-100.0,,-646011.8777299279
aspartame,180.0,100.0,,-646007.9861283654
aspartame,-180.0,-120.0,,-645915.0320573205
aspartame,-180.0,120.0,,-645906.15933088
aspartame,180.0,-120.0,,-646009.490278756
aspartame,180.0,120.0,,-646010.3374467248
aspartame,-180.0,-140.0,,-645910.6325974816
aspartame,-180.0,140.0,,-645904.4182725304
aspartame,180.0,-140.0,,-646014.6533036584
aspartame,180.0,140.0,,-646008.35413984
aspartame,-180.0,-160.0,,-645909.7660508507
aspartame,-180.0,160.0,,-645908.2364335412
aspartame,180.0,-160.0,,-646005.4940629357
aspartame,180.0,160.0,,-646002.4367204064
aspartame,-180.0,-180.0,,-645909.1354813927
aspartame,-180.0,180.0,,-645917.3825974816
aspartame,180.0,-180.0,,-646014.0922990197
aspartame,180.0,180.0,,-646005.2498612755
aspartame,-180.0,-20.0,,-645912.9449296349
aspartame,-180.0,20.0,,-645905.7138963097
aspartame,180.0,-20.0,,-646008.3680863732
aspartame,180.0,20.0,,-646003.738905465
aspartame,-180.0,-40.0,,-645911.1173234337
aspartame,-180.0,40.0,,-645905.6851182336
aspartame,180.0,-40.0,,-646012.4006791466
aspartame,180.0,40.0,,-646004.8839555138
aspartame,-180.0,-60.0,,-645905.8047166222
aspartame,-180.0,60.0,,-645914.251127755
aspartame,180.0,-60.0,,-646004.1807694787
aspartame,180.0,60.0,,-646001.8783402795
